,Tournament,Date,Series,Court,Surface,Round,P,S,PRank,SRank,PPts,SPts,P1,S1,P2,S2,P3,S3,P4,S4,P5,S5,Psets,Ssets,Gana_P,Punto_Average_P,Dif_P,Puntos_Marcados_P,Victorias_P,Derrotas_P,Punto_Average_S,Dif_S,Puntos_Marcados_S,Victorias_S,Derrotas_S
0,French Open,26/05/2019,Grand Slam,Outdoor,Clay,1st Round,Fabbiano T.,Cilic M.,96.0,13.0,592.0,2710.0,3.0,6.0,5.0,7.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,10.0,0.0,0.0,0.0,114.0,44.0
1,French Open,26/05/2019,Grand Slam,Outdoor,Clay,1st Round,Humbert U.,Popyrin A.,61.0,109.0,827.0,520.0,6.0,3.0,3.0,6.0,6.0,7.0,3.0,6.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0
2,French Open,26/05/2019,Grand Slam,Outdoor,Clay,1st Round,Ruud C.,Gulbis E.,63.0,79.0,810.0,687.0,6.0,2.0,7.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,38.0,42.0
3,French Open,26/05/2019,Grand Slam,Outdoor,Clay,1st Round,Berrettini M.,Andujar P.,31.0,93.0,1320.0,602.0,6.0,7.0,6.0,4.0,6.0,4.0,6.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,14.0,29.0
4,French Open,26/05/2019,Grand Slam,Outdoor,Clay,1st Round,Dimitrov G.,Tipsarevic J.,46.0,303.0,997.0,115.0,6.0,3.0,6.0,0.0,3.0,6.0,6.0,7.0,6.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,53.0,34.0,0.0,0.0,0.0,47.0,40.0
5,French Open,26/05/2019,Grand Slam,Outdoor,Clay,1st Round,Tsitsipas S.,Marterer M.,6.0,116.0,4080.0,493.0,6.0,2.0,6.0,2.0,7.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,10.0,7.0,0.0,0.0,0.0,6.0,6.0
6,French Open,26/05/2019,Grand Slam,Outdoor,Clay,1st Round,Jaziri M.,Otte O.,92.0,144.0,602.0,391.0,3.0,6.0,1.0,6.0,6.0,4.0,0.0,6.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,11.0,22.0,0.0,0.0,0.0,0.0,1.0
7,French Open,26/05/2019,Grand Slam,Outdoor,Clay,1st Round,Nishikori K.,Halys Q.,7.0,151.0,3860.0,376.0,6.0,2.0,6.0,3.0,6.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,86.0,36.0,0.0,0.0,0.0,2.0,6.0
8,French Open,26/05/2019,Grand Slam,Outdoor,Clay,1st Round,Mahut N.,Cecchinato M.,252.0,19.0,182.0,1840.0,2.0,6.0,6.0,7.0,6.0,4.0,6.0,2.0,6.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,29.0,42.0,0.0,0.0,0.0,5.0,8.0
9,French Open,26/05/2019,Grand Slam,Outdoor,Clay,1st Round,Federer R.,Sonego L.,3.0,74.0,5950.0,732.0,6.0,2.0,6.0,4.0,6.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,260.0,35.0,0.0,0.0,0.0,2.0,3.0
