,Tournament,Date,Series,Court,Surface,Round,P,S,PRank,SRank,PPts,SPts,P1,S1,P2,S2,P3,S3,P4,S4,P5,S5,Psets,Ssets,Gana_P,Punto_Average_P,Dif_P,Puntos_Marcados_P,Victorias_P,Derrotas_P,Punto_Average_S,Dif_S,Puntos_Marcados_S,Victorias_S,Derrotas_S
0,US Open,31/08/09,Grand Slam,Outdoor,Hard,1st Round,Mathieu P.H.,Youzhny M.,27.0,60.0,1390.0,870.0,6.0,2.0,5.0,7.0,0.0,6.0,2.0,6.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,23.0,14.0,0.0,0.0,0.0,27.0,13.0
1,US Open,31/08/09,Grand Slam,Outdoor,Hard,1st Round,Zverev M.,Granollers M.,53.0,88.0,930.0,680.0,6.0,2.0,5.0,7.0,6.0,3.0,4.0,6.0,0.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,2.0,7.0
2,US Open,31/08/09,Grand Slam,Outdoor,Hard,1st Round,Schuettler R.,Hernych J.,99.0,70.0,635.0,812.0,6.0,1.0,6.0,7.0,4.0,6.0,6.0,2.0,3.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,6.0,12.0,0.0,0.0,0.0,3.0,11.0
3,US Open,31/08/09,Grand Slam,Outdoor,Hard,1st Round,Polansky P.,Garcia-Lopez G.,202.0,50.0,301.0,984.0,4.0,6.0,4.0,6.0,7.0,5.0,6.0,3.0,1.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,11.0,14.0
4,US Open,31/08/09,Grand Slam,Outdoor,Hard,1st Round,Greul S.,Lapentti G.,65.0,182.0,836.0,341.0,6.0,3.0,4.0,6.0,3.0,6.0,6.0,0.0,7.0,6.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
5,US Open,31/08/09,Grand Slam,Outdoor,Hard,1st Round,Chiudinelli M.,Starace P.,161.0,92.0,386.0,665.0,7.0,6.0,7.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,13.0
6,US Open,31/08/09,Grand Slam,Outdoor,Hard,1st Round,Davydenko N.,Kindlmann D.,8.0,222.0,3655.0,258.0,6.0,3.0,6.0,4.0,7.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,42.0,13.0,0.0,0.0,0.0,1.0,2.0
7,US Open,31/08/09,Grand Slam,Outdoor,Hard,1st Round,Montanes A.,Soderling R.,48.0,12.0,991.0,2665.0,1.0,6.0,6.0,3.0,1.0,6.0,4.0,6.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,6.0,14.0,0.0,0.0,0.0,13.0,11.0
8,US Open,31/08/09,Grand Slam,Outdoor,Hard,1st Round,Hanescu V.,Isner J.,29.0,55.0,1346.0,914.0,1.0,6.0,6.0,7.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,0.0,0.0,2.0,6.0
9,US Open,31/08/09,Grand Slam,Outdoor,Hard,1st Round,Ilhan M.,Rochus C.,231.0,72.0,243.0,799.0,3.0,6.0,6.0,3.0,3.0,6.0,7.0,5.0,7.0,5.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0
10,US Open,31/08/09,Grand Slam,Outdoor,Hard,1st Round,Robredo T.,Young D.,15.0,185.0,2165.0,336.0,6.0,4.0,3.0,6.0,6.0,2.0,6.0,3.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,35.0,14.0,0.0,0.0,0.0,2.0,6.0
11,US Open,31/08/09,Grand Slam,Outdoor,Hard,1st Round,Federer R.,Britton D.,1.0,1370.0,12040.0,4.0,6.0,1.0,6.0,3.0,7.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,91.0,6.0,0.0,0.0,0.0,0.0,0.0
12,US Open,31/08/09,Grand Slam,Outdoor,Hard,1st Round,Gil F.,Devvarman S.,106.0,162.0,595.0,386.0,3.0,6.0,4.0,6.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
13,US Open,31/08/09,Grand Slam,Outdoor,Hard,1st Round,Haas T.,Falla A.,21.0,160.0,1760.0,386.0,7.0,5.0,4.0,6.0,7.0,6.0,6.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,31.0,11.0,0.0,0.0,0.0,6.0,8.0
14,US Open,31/08/09,Grand Slam,Outdoor,Hard,1st Round,Vassallo-Arguello M.,Kendrick R.,52.0,77.0,973.0,747.0,3.0,6.0,2.0,6.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,11.0,0.0,0.0,0.0,3.0,10.0
15,US Open,31/08/09,Grand Slam,Outdoor,Hard,1st Round,Kunitsyn I.,Rochus O.,42.0,90.0,1098.0,678.0,3.0,6.0,0.0,6.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,9.0,12.0
16,US Open,31/08/09,Grand Slam,Outdoor,Hard,1st Round,Blake J.,Ramirez-Hidalgo R.,23.0,115.0,1520.0,551.0,6.0,1.0,6.0,4.0,7.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,29.0,14.0,0.0,0.0,0.0,3.0,7.0
17,US Open,31/08/09,Grand Slam,Outdoor,Hard,1st Round,Hewitt L.,Alves T.,32.0,107.0,1285.0,592.0,6.0,0.0,6.0,3.0,6.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,31.0,13.0,0.0,0.0,0.0,2.0,3.0
18,US Open,31/08/09,Grand Slam,Outdoor,Hard,1st Round,Kohlschreiber P.,Seppi A.,24.0,49.0,1510.0,990.0,6.0,0.0,6.0,4.0,6.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,16.0,14.0,0.0,0.0,0.0,9.0,14.0
19,US Open,31/08/09,Grand Slam,Outdoor,Hard,1st Round,Gicquel M.,Tursunov D.,81.0,36.0,729.0,1230.0,6.0,2.0,5.0,7.0,6.0,3.0,6.0,3.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,20.0,14.0
20,US Open,31/08/09,Grand Slam,Outdoor,Hard,1st Round,Hernandez O.,Chela J.I.,83.0,137.0,720.0,467.0,4.0,6.0,4.0,6.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,11.0,0.0,0.0,0.0,12.0,11.0
21,US Open,31/08/09,Grand Slam,Outdoor,Hard,1st Round,Mayer L.,Golubev A.,59.0,56.0,879.0,901.0,6.0,4.0,4.0,6.0,7.0,5.0,6.0,3.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0
22,US Open,31/08/09,Grand Slam,Outdoor,Hard,1st Round,Bolelli S.,Stepanek R.,67.0,16.0,816.0,2000.0,4.0,6.0,4.0,6.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,9.0,0.0,0.0,0.0,22.0,13.0
23,US Open,01/09/09,Grand Slam,Outdoor,Hard,1st Round,Roddick A.,Phau B.,5.0,84.0,5720.0,719.0,6.0,1.0,6.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,39.0,13.0,0.0,0.0,0.0,2.0,8.0
24,US Open,01/09/09,Grand Slam,Outdoor,Hard,1st Round,Buchanan C.,Tsonga J.W.,920.0,7.0,16.0,3920.0,0.0,6.0,2.0,6.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,7.0
25,US Open,01/09/09,Grand Slam,Outdoor,Hard,1st Round,Witten J.,Andreev I.,276.0,30.0,197.0,1330.0,6.0,4.0,6.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,11.0
26,US Open,01/09/09,Grand Slam,Outdoor,Hard,1st Round,Gonzalez M.,Beck K.,79.0,94.0,739.0,654.0,2.0,6.0,1.0,6.0,6.0,1.0,6.0,4.0,6.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
27,US Open,01/09/09,Grand Slam,Outdoor,Hard,1st Round,Nieminen J.,Fognini F.,54.0,73.0,924.0,785.0,7.0,5.0,7.0,6.0,6.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,20.0,13.0,0.0,0.0,0.0,1.0,6.0
28,US Open,01/09/09,Grand Slam,Outdoor,Hard,1st Round,Cipolla F.,Benneteau J.,117.0,43.0,537.0,1079.0,6.0,4.0,1.0,6.0,3.0,6.0,3.0,6.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,10.0,14.0
29,US Open,01/09/09,Grand Slam,Outdoor,Hard,1st Round,Becker B.,Verdasco F.,45.0,10.0,1054.0,3220.0,5.0,7.0,4.0,6.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0,32.0,14.0
30,US Open,01/09/09,Grand Slam,Outdoor,Hard,1st Round,Zeballos H.,Berrer M.,76.0,120.0,750.0,521.0,6.0,3.0,7.0,6.0,3.0,6.0,6.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0
31,US Open,01/09/09,Grand Slam,Outdoor,Hard,1st Round,Luczak P.,Troicki V.,78.0,31.0,744.0,1320.0,3.0,6.0,3.0,6.0,6.0,1.0,6.0,2.0,1.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,5.0,6.0
32,US Open,01/09/09,Grand Slam,Outdoor,Hard,1st Round,Odesnik W.,Berdych T.,86.0,18.0,694.0,1945.0,5.0,7.0,4.0,6.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,29.0,14.0
33,US Open,01/09/09,Grand Slam,Outdoor,Hard,1st Round,Istomin D.,Evans B.,108.0,121.0,587.0,514.0,6.0,4.0,6.0,4.0,7.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0
34,US Open,01/09/09,Grand Slam,Outdoor,Hard,1st Round,Sweeting R.,Cilic M.,141.0,17.0,458.0,1985.0,6.0,7.0,4.0,6.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,15.0,9.0
35,US Open,01/09/09,Grand Slam,Outdoor,Hard,1st Round,Ouanna J.,Ram R.,103.0,114.0,623.0,554.0,7.0,6.0,6.0,4.0,3.0,6.0,6.0,3.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
36,US Open,01/09/09,Grand Slam,Outdoor,Hard,1st Round,Serra F.,Tipsarevic J.,61.0,64.0,866.0,855.0,7.0,6.0,7.0,6.0,7.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,10.0,14.0,0.0,0.0,0.0,15.0,13.0
37,US Open,01/09/09,Grand Slam,Outdoor,Hard,1st Round,Massu N.,Gonzalez F.,89.0,11.0,678.0,2825.0,3.0,6.0,3.0,6.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,11.0,0.0,0.0,0.0,31.0,14.0
