,Tournament,Date,Series,Court,Surface,Round,P,S,PRank,SRank,PPts,SPts,P1,S1,P2,S2,P3,S3,P4,S4,P5,S5,Psets,Ssets,Gana_P,Punto_Average_P,Dif_P,Puntos_Marcados_P,Victorias_P,Derrotas_P,Punto_Average_S,Dif_S,Puntos_Marcados_S,Victorias_S,Derrotas_S
0,French Open,28/05/17,Grand Slam,Outdoor,Clay,1st Round,Mannarino A.,Zeballos H.,54.0,65.0,871.0,793.0,5.0,7.0,3.0,6.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,18.0,28.0,0.0,0.0,0.0,5.0,17.0
1,French Open,28/05/17,Grand Slam,Outdoor,Clay,1st Round,Garcia-Lopez G.,Muller G.,153.0,27.0,372.0,1530.0,7.0,6.0,6.0,7.0,6.0,2.0,6.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,36.0,45.0,0.0,0.0,0.0,25.0,30.0
2,French Open,28/05/17,Grand Slam,Outdoor,Clay,1st Round,Ramos-Vinolas A.,Copil M.,20.0,94.0,2065.0,577.0,6.0,7.0,6.0,1.0,6.0,4.0,6.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,9.0,10.0,0.0,0.0,0.0,1.0,2.0
3,French Open,28/05/17,Grand Slam,Outdoor,Clay,1st Round,Bonzi B.,Medvedev D.,266.0,66.0,198.0,782.0,5.0,7.0,6.0,4.0,6.0,1.0,3.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,French Open,28/05/17,Grand Slam,Outdoor,Clay,1st Round,Janowicz J.,Daniel T.,164.0,102.0,345.0,544.0,4.0,6.0,4.0,6.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,21.0,17.0,0.0,0.0,0.0,1.0,5.0
5,French Open,28/05/17,Grand Slam,Outdoor,Clay,1st Round,Mayer F.,Carreno Busta P.,44.0,21.0,967.0,2045.0,4.0,6.0,2.0,6.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,27.0,32.0,0.0,0.0,0.0,5.0,4.0
6,French Open,28/05/17,Grand Slam,Outdoor,Clay,1st Round,Robert S.,Dimitrov G.,114.0,13.0,490.0,2900.0,2.0,6.0,3.0,6.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,19.0,0.0,0.0,0.0,38.0,26.0
7,French Open,28/05/17,Grand Slam,Outdoor,Clay,1st Round,Karlovic I.,Tsitsipas S.,24.0,205.0,1820.0,264.0,7.0,6.0,7.0,5.0,6.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,37.0,40.0,0.0,0.0,0.0,0.0,0.0
8,French Open,28/05/17,Grand Slam,Outdoor,Clay,1st Round,Kukushkin M.,Sandgren T.,85.0,113.0,630.0,494.0,6.0,2.0,6.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,14.0,24.0,0.0,0.0,0.0,0.0,0.0
9,French Open,28/05/17,Grand Slam,Outdoor,Clay,1st Round,Trungelliti M.,Halys Q.,162.0,126.0,348.0,453.0,3.0,6.0,6.0,7.0,7.0,6.0,6.0,4.0,6.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,4.0
