Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HY,AY,HR,AR,FTR
SP1,11/08/2023,Almeria,Vallecano,0,2,0,2,19,10,5,4,1,3,0,0,A
SP1,11/08/2023,Sevilla,Valencia,1,2,0,0,9,10,3,3,3,2,1,0,A
SP1,12/08/2023,Sociedad,Girona,1,1,1,0,15,6,2,1,2,5,0,0,D
SP1,12/08/2023,Las Palmas,Mallorca,1,1,1,0,5,12,2,2,3,2,0,0,D
SP1,12/08/2023,Ath Bilbao,Real Madrid,0,2,0,2,7,14,1,8,3,1,0,0,A
SP1,13/08/2023,Celta,Osasuna,0,2,0,1,11,11,1,5,1,1,0,0,A
SP1,13/08/2023,Villarreal,Betis,1,2,0,1,18,12,5,5,1,3,0,0,A
SP1,13/08/2023,Getafe,Barcelona,0,0,0,0,5,14,2,4,8,2,1,1,D
SP1,14/08/2023,Cadiz,Alaves,1,0,1,0,12,10,3,2,3,2,1,0,H
SP1,14/08/2023,Ath Madrid,Granada,3,1,1,0,14,7,6,4,3,1,0,0,H
SP1,18/08/2023,Mallorca,Villarreal,0,1,0,0,8,15,1,3,2,4,0,0,A
SP1,18/08/2023,Valencia,Las Palmas,1,0,0,0,9,7,4,1,0,0,0,0,H
SP1,19/08/2023,Sociedad,Celta,1,1,1,0,11,17,2,6,2,1,0,0,D
SP1,19/08/2023,Almeria,Real Madrid,1,3,1,1,20,24,8,9,1,0,0,0,A
SP1,19/08/2023,Osasuna,Ath Bilbao,0,2,0,2,18,8,7,2,1,5,1,1,A
SP1,20/08/2023,Girona,Getafe,3,0,1,0,7,9,6,2,2,5,0,0,H
SP1,20/08/2023,Barcelona,Cadiz,2,0,0,0,23,10,10,1,4,3,0,0,H
SP1,20/08/2023,Betis,Ath Madrid,0,0,0,0,14,5,0,1,2,1,0,0,D
SP1,21/08/2023,Alaves,Sevilla,4,3,2,2,14,12,7,2,1,2,0,0,H
SP1,21/08/2023,Granada,Vallecano,0,2,0,0,14,17,7,9,2,1,1,0,A
SP1,25/08/2023,Las Palmas,Sociedad,0,0,0,0,11,8,5,1,1,4,0,0,D
SP1,25/08/2023,Celta,Real Madrid,0,1,0,0,13,10,4,3,2,3,0,0,A
SP1,26/08/2023,Cadiz,Almeria,1,1,0,0,11,5,3,2,0,5,1,1,D
SP1,26/08/2023,Granada,Mallorca,3,2,1,1,10,10,4,5,2,7,0,0,H
SP1,26/08/2023,Sevilla,Girona,1,2,1,1,21,8,4,3,2,1,0,0,A
SP1,27/08/2023,Villarreal,Barcelona,3,4,2,2,13,21,6,11,3,3,0,0,A
SP1,27/08/2023,Valencia,Osasuna,1,2,0,1,16,7,4,2,3,4,0,0,A
