Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HY,AY,HR,AR,FTR
I1,28/08/10,Roma,Cesena,0,0,0,0,24,13,5,3,3,3,0,0,D
I1,28/08/10,Udinese,Genoa,0,1,0,0,14,9,6,4,2,3,0,0,A
I1,29/08/10,Bari,Juventus,1,0,1,0,20,18,5,2,1,2,0,0,H
I1,29/08/10,Chievo,Catania,2,1,1,1,11,11,7,4,0,2,0,0,H
I1,29/08/10,Fiorentina,Napoli,1,1,0,1,19,12,8,2,2,4,1,1,D
I1,29/08/10,Milan,Lecce,4,0,3,0,26,13,13,3,0,1,0,0,H
I1,29/08/10,Palermo,Cagliari,0,0,0,0,13,14,4,3,0,3,0,0,D
I1,29/08/10,Parma,Brescia,2,0,2,0,18,14,9,3,0,3,0,0,H
I1,29/08/10,Sampdoria,Lazio,2,0,0,0,11,18,4,1,1,4,0,0,H
I1,30/08/10,Bologna,Inter,0,0,0,0,9,22,3,7,3,2,0,0,D
I1,11/09/10,Cagliari,Roma,5,1,3,1,12,17,7,6,3,2,0,1,H
I1,11/09/10,Cesena,Milan,2,0,2,0,17,19,4,5,0,1,0,0,H
I1,11/09/10,Inter,Udinese,2,1,1,1,17,14,6,4,2,3,0,0,H
I1,12/09/10,Brescia,Palermo,3,2,3,1,17,23,6,11,2,2,0,0,H
I1,12/09/10,Catania,Parma,2,1,1,0,10,16,3,4,1,5,0,1,H
I1,12/09/10,Genoa,Chievo,1,3,1,1,14,12,7,8,1,0,0,0,A
I1,12/09/10,Juventus,Sampdoria,3,3,1,1,25,11,10,5,1,0,0,0,D
I1,12/09/10,Lazio,Bologna,3,1,0,0,15,14,7,1,1,1,0,0,H
I1,12/09/10,Lecce,Fiorentina,1,0,1,0,9,11,4,3,2,1,0,0,H
I1,12/09/10,Napoli,Bari,2,2,1,1,19,12,6,8,1,4,0,0,D
I1,18/09/10,Fiorentina,Lazio,1,2,1,1,18,15,4,6,1,1,0,0,A
I1,18/09/10,Milan,Catania,1,1,1,1,12,14,3,6,2,2,0,0,D
I1,19/09/10,Bari,Cagliari,0,0,0,0,10,7,0,1,1,1,0,0,D
I1,19/09/10,Cesena,Lecce,1,0,0,0,10,14,4,2,1,3,1,1,H
I1,19/09/10,Chievo,Brescia,0,1,0,1,14,13,1,5,3,1,0,0,A
I1,19/09/10,Palermo,Inter,1,2,1,0,16,21,5,6,2,0,0,0,A
I1,19/09/10,Parma,Genoa,1,1,0,1,14,7,3,3,2,5,0,0,D
I1,19/09/10,Roma,Bologna,2,2,1,0,17,21,4,5,1,4,0,0,D
I1,19/09/10,Sampdoria,Napoli,1,2,0,0,10,15,2,3,3,6,0,0,A
I1,19/09/10,Udinese,Juventus,0,4,0,3,12,19,4,9,0,4,0,0,A
I1,22/09/10,Bologna,Udinese,2,1,1,1,13,16,4,7,2,3,0,0,H
I1,22/09/10,Brescia,Roma,2,1,1,0,6,24,3,8,1,3,0,1,H
I1,22/09/10,Cagliari,Sampdoria,0,0,0,0,9,8,3,2,2,1,0,0,D
I1,22/09/10,Catania,Cesena,2,0,1,0,14,10,3,2,3,3,0,0,H
I1,22/09/10,Genoa,Fiorentina,1,1,1,1,18,8,8,4,3,2,0,0,D
I1,22/09/10,Inter,Bari,4,0,1,0,18,10,4,3,1,1,0,0,H
I1,22/09/10,Lazio,Milan,1,1,0,0,11,13,6,3,0,1,0,0,D
I1,22/09/10,Lecce,Parma,1,1,1,0,13,11,5,4,0,1,0,0,D
I1,22/09/10,Napoli,Chievo,1,3,1,1,18,16,6,6,1,1,0,0,A
I1,23/09/10,Juventus,Palermo,1,3,0,1,27,11,9,8,1,3,0,0,A
I1,25/09/10,Milan,Genoa,1,0,0,0,13,8,5,2,1,2,0,0,H
